Date,AAPL,SPY
2020-01-02,72.40049743652344,296.8882141113281
2020-01-03,71.6966552734375,294.6400451660156
2020-01-06,72.2679214477539,295.76422119140625
2020-01-07,71.92807006835938,294.9325866699219
2020-01-08,73.08511352539062,296.5044250488281
2020-01-09,74.63751220703125,298.5149230957031
2020-01-10,74.80622863769531,297.6558532714844
2020-01-13,76.40441131591797,299.7029724121094
2020-01-14,75.37272644042969,299.2459411621094
2020-01-15,75.04969787597656,299.92218017578125
2020-01-16,75.98982238769531,302.41705322265625
2020-01-17,76.83108520507812,303.3584289550781
2020-01-21,76.31041717529297,302.7643127441406
2020-01-22,76.58279418945312,302.8009033203125
2020-01-23,76.95160675048828,303.148193359375
2020-01-24,76.7298583984375,300.45220947265625
2020-01-27,74.47357940673828,295.63623046875
2020-01-28,76.58039855957031,298.7342224121094
2020-01-29,78.1833724975586,298.4874572753906
2020-01-30,78.07012176513672,299.4561462402344
2020-01-31,74.60856628417969,294.01861572265625
2020-02-03,74.40367126464844,296.20281982421875
2020-02-04,76.86001586914062,300.7173156738281
2020-02-05,77.48674774169922,304.1900329589844
2020-02-06,78.39310455322266,305.2135009765625
2020-02-07,77.3275146484375,303.58685302734375
2020-02-10,77.69480895996094,305.85321044921875
2020-02-11,77.22604370117188,306.3832702636719
2020-02-12,79.05999755859375,308.3572082519531
2020-02-13,78.49702453613281,308.02825927734375
2020-02-14,78.51632690429688,308.5216979980469
2020-02-18,77.07867431640625,307.72662353515625
2020-02-19,78.19498443603516,309.1980285644531
2020-02-20,77.39274597167969,307.9277038574219
2020-02-21,75.6409912109375,304.756591796875
2020-02-24,72.04801940917969,294.649169921875
2020-02-25,69.60760498046875,285.72076416015625
2020-02-26,70.71182250976562,284.66973876953125
2020-02-27,66.08951568603516,271.8847961425781
2020-02-28,66.05084228515625,270.742431640625
2020-03-02,72.20024108886719,282.4672546386719
2020-03-03,69.90718841552734,274.379638671875
2020-03-04,73.14983367919922,285.9126281738281
2020-03-05,70.77706909179688,276.4083557128906
2020-03-06,69.83711242675781,271.83905029296875
2020-03-09,64.31358337402344,250.6099853515625
2020-03-10,68.945556640625,263.5777282714844
2020-03-11,66.55101776123047,250.7286834716797
2020-03-12,59.97880172729492,226.73971557617188
2020-03-13,67.16476440429688,246.12278747558594
2020-03-16,58.52421569824219,219.191162109375
2020-03-17,61.0975227355957,231.02577209472656
2020-03-18,59.60186767578125,219.32823181152344
2020-03-19,59.145198822021484,219.79434204101562
2020-03-20,55.39031982421875,210.32241821289062
2020-03-23,54.213600158691406,204.9448699951172
2020-03-24,59.65260696411133,223.51356506347656
2020-03-25,59.32399368286133,226.85955810546875
2020-03-26,62.445804595947266,240.10585021972656
2020-03-27,59.86041259765625,232.95416259765625
2020-03-30,61.56869888305664,240.51953125
2020-03-31,61.44305419921875,236.93446350097656
2020-04-01,58.21010208129883,226.27125549316406
2020-04-02,59.181434631347656,231.49256896972656
2020-04-03,58.33090591430664,228.1465301513672
2020-04-06,63.419559478759766,243.47023010253906
2020-04-07,62.684993743896484,243.71853637695312
2020-04-08,64.28941345214844,251.89974975585938
2020-04-09,64.75332641601562,255.7329559326172
2020-04-13,66.0242691040039,253.39810180664062
2020-04-14,69.35871124267578,260.87158203125
2020-04-15,68.72565460205078,255.3285369873047
2020-04-16,69.27172088623047,256.5602722167969
2020-04-17,68.33179473876953,263.4914245605469
2020-04-20,66.91345977783203,258.8491516113281
2020-04-21,64.84514617919922,250.98971557617188
2020-04-22,66.71292877197266,256.5602722167969
2020-04-23,66.45437622070312,256.5418395996094
2020-04-24,68.37288665771484,260.1177062988281
2020-04-27,68.42121124267578,263.8682556152344
2020-04-28,67.3121337890625,262.6549072265625
2020-04-29,69.52302551269531,269.5307312011719
2020-04-30,70.98969268798828,267.021240234375
2020-05-01,69.84680938720703,259.95233154296875
2020-05-04,70.83506774902344,260.6692810058594
2020-05-05,71.89823150634766,263.0777282714844
2020-05-06,72.63998413085938,261.29449462890625
2020-05-07,73.39146423339844,264.4473571777344
2020-05-08,75.13829040527344,268.8229675292969
2020-05-11,76.32061004638672,268.8781433105469
2020-05-12,75.44841003417969,263.51898193359375
2020-05-13,74.53741455078125,258.8583679199219
2020-05-14,74.99535369873047,261.9562683105469
2020-05-15,74.55195617675781,263.16046142578125
2020-05-18,76.30852508544922,271.17620849609375
2020-05-19,75.8675765991211,268.390869140625
2020-05-20,77.34303283691406,272.95037841796875
2020-05-21,76.76641845703125,271.06585693359375
2020-05-22,77.26067352294922,271.5806579589844
2020-05-26,76.73733520507812,274.92669677734375
2020-05-27,77.07171630859375,279.01727294921875
2020-05-28,77.10560607910156,278.50262451171875
2020-05-29,77.03050994873047,279.7435607910156
2020-06-01,77.97782135009766,280.8742980957031
2020-06-02,78.33880615234375,283.1999206542969
2020-06-03,78.77007293701172,286.9687805175781
2020-06-04,78.09168243408203,286.21502685546875
2020-06-05,80.3158187866211,293.55059814453125
2020-06-08,80.7906723022461,297.0988464355469
2020-06-09,83.34188079833984,294.8834533691406
2020-06-10,85.48606872558594,293.2380065917969
2020-06-11,81.38182830810547,276.33319091796875
2020-06-12,82.08443450927734,279.6424255371094
2020-06-15,83.09960174560547,282.2530822753906
2020-06-16,85.30194091796875,287.68585205078125
2020-06-17,85.18321990966797,286.4908142089844
2020-06-18,85.2171630859375,286.6010437011719
2020-06-19,84.73015594482422,284.96319580078125
2020-06-22,86.94701385498047,286.7912902832031
2020-06-23,88.8028793334961,288.1116027832031
2020-06-24,87.2353286743164,280.76220703125
2020-06-25,88.39344024658203,283.7721252441406
2020-06-26,85.67747497558594,277.0321350097656
2020-06-29,87.65205383300781,281.10382080078125
2020-06-30,88.38372802734375,284.70465087890625
2020-07-01,88.21654510498047,286.69903564453125
2020-07-02,88.21654510498047,288.2778015136719
2020-07-06,90.57637786865234,292.72802734375
2020-07-07,90.29532623291016,289.7088317871094
2020-07-08,92.39833068847656,291.92474365234375
2020-07-09,92.79564666748047,290.2629089355469
2020-07-10,92.9579849243164,293.2265319824219
2020-07-13,92.52916717529297,290.68756103515625
2020-07-14,94.06036376953125,294.4545593261719
2020-07-15,94.70724487304688,297.1598205566406
2020-07-16,93.54188537597656,296.18109130859375
2020-07-17,93.35291290283203,297.0398254394531
2020-07-20,95.3202133178711,299.4403991699219
2020-07-21,94.00463104248047,300.07745361328125
2020-07-22,94.26873016357422,301.7854309082031
2020-07-23,89.97795104980469,298.1846008300781
2020-07-24,89.75504302978516,296.2641906738281
2020-07-27,91.88227844238281,298.4247131347656
2020-07-28,90.37286376953125,296.5320129394531
2020-07-29,92.10516357421875,300.17889404296875
